=== RESULTATS ===
Journee,Equipe_Dom,Equipe_Ext,Score_Dom,Score_Ext
1,Spurs,Brighton,,
1,Bournemouth,Fulham,,
1,London Reds,Everton,,
1,Newcastle,Brentford,,
1,Manchester Blue,Burnley,,
1,London Blues,Liverpool,,
1,Crystal Palace,N. Forest,,
1,West Ham,Wolverhampton,,
1,Sunderland,Manchester Red,,
1,Aston Villa,Leeds,,
2,Burnley,Sunderland,2,0
2,N. Forest,London Reds,0,0
2,Fulham,West Ham,1,1
2,Brighton,Crystal Palace,3,1
2,Manchester Red,Aston Villa,1,1
2,Wolverhampton,London Blues,2,0
2,Everton,Liverpool,0,2
2,Leeds,Bournemouth,2,1
2,Manchester Blue,Newcastle,4,0
2,Brentford,Spurs,4,2
3,Spurs,Manchester Blue,1,2
3,Wolverhampton,Fulham,3,1
3,Bournemouth,Manchester Red,3,1
3,Sunderland,Newcastle,1,4
3,Aston Villa,Burnley,3,0
3,West Ham,Leeds,3,1
3,Liverpool,N. Forest,3,0
3,London Blues,Everton,0,0
3,London Reds,Brighton,2,1
3,Crystal Palace,Brentford,0,2
4,Brentford,London Reds,1,2
4,Leeds,Wolverhampton,0,2
4,Fulham,London Blues,3,0
4,Manchester Red,West Ham,2,3
4,N. Forest,Everton,4,0
4,Brighton,Liverpool,2,1
4,Manchester Blue,Crystal Palace,1,1
4,Burnley,Bournemouth,2,2
4,Sunderland,Spurs,0,2
4,Newcastle,Aston Villa,1,0
5,Crystal Palace,Sunderland,4,0
5,Bournemouth,Newcastle,1,2
5,London Reds,Manchester Blue,0,1
5,West Ham,Burnley,2,1
5,Everton,Brighton,1,0
5,Fulham,Leeds,2,2
5,Aston Villa,Spurs,3,1
5,London Blues,N. Forest,4,2
5,Wolverhampton,Manchester Red,3,1
5,Liverpool,Brentford,1,1
6,Sunderland,London Reds,,
6,Manchester Blue,Liverpool,,
6,Leeds,London Blues,,
6,Newcastle,West Ham,,
6,Brighton,N. Forest,,
6,Aston Villa,Crystal Palace,,
6,Burnley,Wolverhampton,,
6,Spurs,Bournemouth,,
6,Manchester Red,Fulham,,
6,Brentford,Everton,,
7,Liverpool,Sunderland,1,1
7,London Reds,Aston Villa,2,0
7,Wolverhampton,Newcastle,2,2
7,Leeds,Manchester Red,2,1
7,Bournemouth,Crystal Palace,0,1
7,Fulham,Burnley,3,2
7,London Blues,Brighton,1,1
7,Everton,Manchester Blue,0,2
7,West Ham,Spurs,1,2
7,N. Forest,Brentford,1,1
8,Newcastle,Fulham,3,0
8,Aston Villa,Liverpool,2,2
8,Spurs,Wolverhampton,2,1
8,Manchester Red,London Blues,2,0
8,Manchester Blue,N. Forest,3,0
8,Brentford,Brighton,2,0
8,Sunderland,Everton,0,0
8,Burnley,Leeds,1,1
8,Crystal Palace,West Ham,4,1
8,Bournemouth,London Reds,1,4
9,London Blues,Brentford,2,1
9,Fulham,Spurs,0,4
9,N. Forest,Sunderland,0,1
9,West Ham,London Reds,0,0
9,Everton,Aston Villa,2,0
9,Liverpool,Bournemouth,1,0
9,Brighton,Manchester Blue,3,1
9,Manchester Red,Burnley,1,2
9,Leeds,Newcastle,0,3
9,Wolverhampton,Crystal Palace,3,2
10,Bournemouth,Everton,2,0
10,Crystal Palace,Fulham,1,0
10,West Ham,Liverpool,2,3
10,London Reds,Wolverhampton,3,2
10,Spurs,Leeds,0,0
10,Manchester Blue,Brentford,1,1
10,Newcastle,Manchester Red,5,1
10,Burnley,London Blues,1,0
10,Aston Villa,N. Forest,1,1
10,Sunderland,Brighton,4,0
11,Burnley,Newcastle,2,1
11,London Blues,Manchester Blue,0,1
11,Everton,West Ham,1,2
11,N. Forest,Bournemouth,3,3
11,Wolverhampton,Liverpool,0,0
11,Manchester Red,Spurs,1,3
11,Leeds,Crystal Palace,0,0
11,Fulham,London Reds,1,2
