=== RESULTATS ===
Journee,Equipe_Dom,Equipe_Ext,Score_Dom,Score_Ext
11,Brentford,Sunderland,4,2
11,Brighton,Aston Villa,1,1
12,West Ham,N. Forest,3,2
12,Bournemouth,Brighton,1,1
12,Aston Villa,Brentford,0,2
12,Wolverhampton,Everton,2,2
12,Crystal Palace,Manchester Red,2,1
12,London Reds,Leeds,1,1
12,Liverpool,Fulham,2,1
12,Spurs,Burnley,1,1
12,Newcastle,London Blues,4,0
12,Sunderland,Manchester Blue,0,5
13,Leeds,Liverpool,0,2
13,Fulham,Everton,1,2
13,Burnley,Crystal Palace,1,0
13,Manchester Red,London Reds,0,4
13,Brighton,West Ham,2,2
13,N. Forest,Wolverhampton,3,0
13,Manchester Blue,Aston Villa,1,0
13,Brentford,Bournemouth,2,3
13,London Blues,Sunderland,0,3
13,Newcastle,Spurs,1,1
14,Liverpool,Manchester Red,2,1
14,Fulham,N. Forest,1,1
14,Wolverhampton,Brighton,5,0
14,Crystal Palace,Newcastle,1,0
14,Aston Villa,Sunderland,3,1
14,Everton,Leeds,1,0
14,Bournemouth,Manchester Blue,0,4
14,London Reds,Burnley,2,1
14,West Ham,Brentford,3,1
14,Spurs,London Blues,3,3
15,Manchester Red,Everton,2,1
15,Burnley,Liverpool,1,3
15,Sunderland,Bournemouth,1,3
15,Leeds,N. Forest,1,3
15,Newcastle,London Reds,3,2
15,Spurs,Crystal Palace,1,1
15,Manchester Blue,West Ham,1,1
15,Brentford,Wolverhampton,1,1
15,Brighton,Fulham,0,1
15,London Blues,Aston Villa,2,0
16,N. Forest,Manchester Red,0,1
16,Liverpool,Newcastle,0,1
16,Crystal Palace,London Blues,4,1
16,Bournemouth,Aston Villa,1,2
16,Wolverhampton,Manchester Blue,0,3
16,Everton,Burnley,0,0
16,London Reds,Spurs,2,1
16,Leeds,Brighton,0,3
16,West Ham,Sunderland,2,1
16,Fulham,Brentford,2,1
17,Sunderland,Wolverhampton,2,1
17,Spurs,Liverpool,5,1
17,Crystal Palace,London Reds,1,2
17,Newcastle,Everton,3,1
17,Brentford,Leeds,2,2
17,Manchester Red,Brighton,1,0
17,Burnley,N. Forest,0,1
17,London Blues,Bournemouth,1,0
17,Manchester Blue,Fulham,1,0
17,Aston Villa,West Ham,3,1
18,Brighton,Burnley,3,2
18,N. Forest,Newcastle,3,1
18,Everton,Spurs,2,1
18,Leeds,Manchester Blue,0,2
18,London Reds,London Blues,1,1
18,Wolverhampton,Aston Villa,1,1
18,Fulham,Sunderland,4,1
18,Manchester Red,Brentford,2,2
18,Liverpool,Crystal Palace,1,1
18,West Ham,Bournemouth,0,0
19,Bournemouth,Wolverhampton,3,2
19,Burnley,Brentford,1,2
19,Sunderland,Leeds,2,3
19,London Reds,Liverpool,1,1
19,Manchester Blue,Manchester Red,3,1
19,London Blues,West Ham,2,0
19,Aston Villa,Fulham,4,0
19,Newcastle,Brighton,1,3
19,Crystal Palace,Everton,2,1
19,Spurs,N. Forest,3,2
20,Brighton,Spurs,2,3
20,Fulham,Bournemouth,1,1
20,Everton,London Reds,2,2
20,Brentford,Newcastle,1,2
20,Burnley,Manchester Blue,1,3
20,Liverpool,London Blues,2,1
20,N. Forest,Crystal Palace,1,3
20,Wolverhampton,West Ham,1,1
20,Manchester Red,Sunderland,1,1
20,Leeds,Aston Villa,1,0
21,Spurs,Brentford,3,0
21,Newcastle,Manchester Blue,0,3
21,Bournemouth,Leeds,2,0
21,Liverpool,Everton,2,0
21,London Blues,Wolverhampton,2,0
21,Sunderland,Burnley,1,1
21,Aston Villa,Manchester Red,3,2
21,Crystal Palace,Brighton,2,1
21,West Ham,Fulham,1,1
21,London Reds,N. Forest,2,0
22,Brighton,London Reds,0,2
22,Everton,London Blues,1,2
22,N. Forest,Liverpool,1,2
22,Leeds,West Ham,4,1
22,Brentford,Crystal Palace,3,2
22,Burnley,Aston Villa,0,1
22,Newcastle,Sunderland,1,0
22,Manchester Red,Bournemouth,1,1
22,Fulham,Wolverhampton,4,1
22,Manchester Blue,Spurs,1,0
23,Aston Villa,Newcastle,3,1
23,Spurs,Sunderland,4,1
23,Bournemouth,Burnley,1,1
23,Crystal Palace,Manchester Blue,1,2
23,Liverpool,Brighton,3,0
23,Everton,N. Forest,1,0
23,West Ham,Manchester Red,3,0
23,London Reds,Brentford,3,1
23,London Blues,Fulham,2,2
23,Wolverhampton,Leeds,1,0
24,Sunderland,Crystal Palace,0,2
24,Newcastle,Bournemouth,3,2
24,Manchester Blue,London Reds,2,2
24,Burnley,West Ham,2,3
24,Brighton,Everton,2,2
24,Leeds,Fulham,0,1
24,Spurs,Aston Villa,1,2
24,N. Forest,London Blues,3,1
24,Manchester Red,Wolverhampton,5,1
24,Brentford,Liverpool,1,3
25,London Reds,Sunderland,0,1
25,Liverpool,Manchester Blue,3,0
25,London Blues,Leeds,4,0
25,West Ham,Newcastle,1,1
25,N. Forest,Brighton,3,2
25,Crystal Palace,Aston Villa,2,2
25,Wolverhampton,Burnley,1,1
25,Bournemouth,Spurs,2,2
25,Fulham,Manchester Red,2,0
25,Everton,Brentford,1,0
26,Brentford,N. Forest,3,1
26,Spurs,West Ham,4,0
26,Manchester Blue,Everton,3,1
26,Brighton,London Blues,3,3
26,Burnley,Fulham,1,3
26,Sunderland,Liverpool,0,2
26,Crystal Palace,Bournemouth,2,1
26,Manchester Red,Leeds,3,1
26,Newcastle,Wolverhampton,1,1
26,Aston Villa,London Reds,0,0
27,West Ham,Crystal Palace,1,0
27,Leeds,Burnley,1,2
27,Everton,Sunderland,0,1
27,Brighton,Brentford,3,0
27,London Reds,Bournemouth,5,0
27,N. Forest,Manchester Blue,1,0
27,London Blues,Manchester Red,0,1
27,Fulham,Newcastle,1,1
27,Wolverhampton,Spurs,3,1
27,Liverpool,Aston Villa,0,0
27,Brentford,West Ham,1,2
27,Aston Villa,Everton,1,1
27,Manchester Blue,Liverpool,2,0
27,Fulham,Crystal Palace,3,1
27,Spurs,Wolverhampton,4,1
27,Burnley,Leeds,0,1
27,Bournemouth,Sunderland,2,1
27,Manchester Red,Brighton,2,1
27,Newcastle,London Blues,3,1
27,London Reds,N. Forest,2,0
28,Crystal Palace,Wolverhampton,2,2
28,Newcastle,Leeds,5,0
28,Burnley,Manchester Red,1,2
28,Manchester Blue,Brighton,1,2
28,Bournemouth,Liverpool,1,1
28,Aston Villa,Everton,2,0
28,London Reds,West Ham,2,2
28,Brentford,London Blues,2,3
28,Sunderland,N. Forest,2,3
28,Spurs,Fulham,0,1
28,Everton,Burnley,3,0
28,Crystal Palace,London Reds,0,2
28,Wolverhampton,Aston Villa,0,1
28,Liverpool,Fulham,3,2
28,Sunderland,Manchester Red,0,2
28,Manchester Blue,Newcastle,2,0
28,London Blues,Spurs,2,1
28,Leeds,Brighton,1,3
28,West Ham,Bournemouth,1,0
28,N. Forest,Brentford,2,3
29,Everton,Bournemouth,,
29,Fulham,Crystal Palace,,
29,Liverpool,West Ham,,
29,Wolverhampton,London Reds,,
29,Leeds,Spurs,,
29,Brentford,Manchester Blue,,
29,Manchester Red,Newcastle,,
29,London Blues,Burnley,,
29,N. Forest,Aston Villa,,
29,Brighton,Sunderland,,
29,Aston Villa,London Blues,0,2
29,Brighton,Everton,3,1
29,Bournemouth,N. Forest,4,1
29,Sunderland,West Ham,1,1
29,London Reds,Liverpool,4,2
29,Burnley,Wolverhampton,4,1
29,Brentford,Crystal Palace,2,2
29,Manchester Red,Leeds,0,2
29,Spurs,Manchester Blue,1,1
29,Fulham,Newcastle,0,1
30,West Ham,Manchester Red,0,0
30,Crystal Palace,Bournemouth,1,1
30,Manchester Blue,Aston Villa,2,1
30,Fulham,Spurs,1,1
30,Newcastle,London Reds,1,2
30,N. Forest,Sunderland,0,0
30,Everton,Leeds,2,1
30,London Blues,Burnley,5,0
30,Liverpool,Brentford,1,1
30,Wolverhampton,Brighton,2,2
31,Burnley,Manchester Blue,0,1
31,West Ham,N. Forest,2,0
31,Aston Villa,Fulham,5,1
31,Bournemouth,Liverpool,2,3
31,Manchester Red,Everton,2,0
31,Brentford,Newcastle,1,5
31,London Reds,Spurs,4,1
31,Leeds,Wolverhampton,1,4
31,Brighton,London Blues,1,3
31,Sunderland,Crystal Palace,0,1
32,Newcastle,Bournemouth,2,0
32,London Reds,Aston Villa,4,1
32,Wolverhampton,Everton,2,1
32,Manchester Blue,Brighton,2,0
32,London Blues,Leeds,2,0
32,Spurs,Brentford,1,2
32,Liverpool,Sunderland,2,0
32,Crystal Palace,West Ham,1,1
32,Fulham,Burnley,2,1
32,N. Forest,Manchester Red,2,0
33,Brighton,Fulham,2,2
33,Burnley,London Reds,2,1
33,Manchester Red,Wolverhampton,4,1
33,West Ham,Liverpool,1,3
33,N. Forest,Crystal Palace,4,0
33,Leeds,Manchester Blue,1,3
33,Sunderland,Newcastle,0,3
33,Everton,London Blues,1,1
33,Bournemouth,Spurs,0,0
33,Brentford,Aston Villa,1,1
34,Spurs,Sunderland,3,0
34,Newcastle,West Ham,4,0
34,Liverpool,N. Forest,3,0
34,London Blues,Wolverhampton,1,1
34,Crystal Palace,Manchester Red,4,1
34,Brentford,Burnley,2,1
34,London Reds,Brighton,2,0
34,Aston Villa,Bournemouth,2,2
34,Manchester Blue,Everton,3,0
34,Fulham,Leeds,3,2
35,West Ham,Spurs,1,2
35,Crystal Palace,Liverpool,0,2
35,Brighton,Brentford,1,1
35,N. Forest,Newcastle,2,1
35,Manchester Red,London Blues,0,2
35,Sunderland,Aston Villa,1,2
35,Everton,Fulham,2,1
35,Wolverhampton,Manchester Blue,1,2
35,Leeds,London Reds,0,3
35,Bournemouth,Burnley,2,2
36,Brentford,Leeds,5,0
36,Aston Villa,West Ham,4,1
36,Burnley,Sunderland,3,2
36,Manchester Blue,London Blues,4,2
36,London Reds,Everton,2,2
36,Spurs,N. Forest,2,1
36,Newcastle,Crystal Palace,3,1
36,Fulham,Wolverhampton,2,2
36,Bournemouth,Brighton,2,2
36,Liverpool,Manchester Red,1,2
37,Wolverhampton,London Reds,1,3
37,Sunderland,Brighton,1,1
37,Everton,Brentford,1,0
37,West Ham,Burnley,0,2
37,Manchester Red,Manchester Blue,2,1
37,Crystal Palace,Spurs,2,1
37,Leeds,Bournemouth,1,0
37,Liverpool,Newcastle,0,1
37,London Blues,Fulham,2,1
37,N. Forest,Aston Villa,1,2

=== PREDICTIONS ===
Journee,Equipe_Dom,Equipe_Ext,Prediction,Resultat,Succes,Points
12,Wolverhampton,Everton,1,X,0,-8
12,Newcastle,London Blues,1,1,1,5
12,Liverpool,Fulham,1,1,1,5
13,Brentford,Bournemouth,1,2,0,-8
13,Newcastle,Spurs,1,X,0,-8
14,Liverpool,Manchester Red,1,1,1,5
15,Brighton,Fulham,1,2,0,-8
16,West Ham,Sunderland,1,1,1,5
16,Crystal Palace,London Blues,1,1,1,5
16,N. Forest,Manchester Red,1,2,0,-8
17,Manchester Blue,Fulham,1,1,1,5
17,Newcastle,Everton,1,1,1,5
17,Brentford,Leeds,1,X,0,-8
18,London Reds,London Blues,1,X,0,-8
19,Newcastle,Brighton,1,2,0,-8
20,Manchester Red,Sunderland,1,X,0,-8
23,Spurs,Sunderland,1,1,1,5
23,Bournemouth,Burnley,1,X,0,-8
23,London Reds,Brentford,1,1,1,5
24,Sunderland,Crystal Palace,2,2,1,5
26,Crystal Palace,Bournemouth,1,1,1,5
27,London Reds,Bournemouth,1,1,1,5
27,N. Forest,Manchester Blue,2,1,0,-8
27,Everton,Sunderland,1,2,0,-8
28,Bournemouth,Liverpool,2,X,0,-8
28,Crystal Palace,Wolverhampton,1,X,0,-8

=== SCORE IA ===
Score_Final,Predictions_Total,Predictions_Reussies
60,26,12

=== CLASSEMENT FINAL ===
Equipe,Points,Forme
London Reds,81,VNVVD
Manchester Blue,75,DVVVV
Liverpool,65,DDVVV
London Blues,64,VDVNN
Manchester Red,64,VVDDV
Newcastle,63,VVDVV
Aston Villa,59,VVVNN
Crystal Palace,57,VDDVD
Spurs,53,DVVVN
Fulham,51,DNDVN
Everton,50,VNVDN
Brentford,50,DVNVN
Brighton,46,NNNDN
N. Forest,42,DDVDV
Burnley,40,VVNDV
Leeds,40,VDDDD
Bournemouth,34,DNNNN
West Ham,33,DDDDD
Wolverhampton,31,DNDND
Sunderland,29,NDDDD
