=== RESULTATS ===
Journee,Equipe_Dom,Equipe_Ext,Score_Dom,Score_Ext
18,Newcastle,Everton,1,2
18,Sunderland,Liverpool,1,1
18,Leeds,Manchester Blue,2,3
19,Liverpool,N. Forest,4,0
19,Wolverhampton,Newcastle,0,2
19,Bournemouth,Aston Villa,3,1
19,West Ham,London Reds,0,2
19,Everton,Brighton,3,0
19,London Blues,Leeds,0,0
19,Brentford,Spurs,0,3
19,Burnley,Crystal Palace,2,2
19,Sunderland,Fulham,2,3
19,Manchester Blue,Manchester Red,4,2
20,Aston Villa,West Ham,3,1
20,Spurs,N. Forest,2,1
20,Leeds,Sunderland,2,1
20,Newcastle,Manchester Blue,3,0
20,London Reds,Brentford,2,1
20,Manchester Red,London Blues,3,1
20,Fulham,Liverpool,0,3
20,Everton,Burnley,1,1
20,Crystal Palace,Bournemouth,1,0
20,Brighton,Wolverhampton,1,3
21,Fulham,Leeds,0,0
21,Manchester Blue,Brighton,3,2
21,West Ham,Crystal Palace,2,3
21,Brentford,Aston Villa,1,3
21,London Blues,Newcastle,3,2
21,Liverpool,Spurs,2,1
21,Sunderland,Manchester Red,1,3
21,Bournemouth,Everton,2,1
21,Wolverhampton,Burnley,0,1
21,N. Forest,London Reds,0,1
22,Crystal Palace,Brentford,1,3
22,Leeds,Liverpool,1,2
22,London Reds,Spurs,3,0
22,Manchester Red,Fulham,3,2
22,Newcastle,Sunderland,2,0
22,Everton,West Ham,1,0
22,Burnley,Manchester Blue,1,2
22,Brighton,London Blues,3,2
22,Aston Villa,N. Forest,5,0
22,Wolverhampton,Bournemouth,0,0
23,Leeds,Manchester Red,1,5
23,Fulham,Newcastle,3,0
23,Manchester Blue,Bournemouth,3,0
23,Sunderland,Brighton,0,3
23,Spurs,Aston Villa,1,1
23,London Blues,Burnley,3,0
23,Liverpool,London Reds,1,1
23,Brentford,Everton,3,1
23,N. Forest,Crystal Palace,1,1
23,West Ham,Wolverhampton,3,0
24,Aston Villa,London Reds,1,0
24,Everton,N. Forest,3,2
24,Crystal Palace,Spurs,4,0
24,Manchester Blue,West Ham,2,0
24,Bournemouth,London Blues,0,4
24,Manchester Red,Liverpool,0,3
24,Newcastle,Leeds,1,0
24,Brighton,Fulham,2,0
24,Burnley,Sunderland,2,3
24,Wolverhampton,Brentford,2,1
25,London Blues,West Ham,1,2
25,Liverpool,Aston Villa,1,0
25,Brentford,Manchester Blue,2,4
25,Leeds,Brighton,1,3
25,N. Forest,Wolverhampton,0,1
25,London Reds,Crystal Palace,3,0
25,Fulham,Burnley,1,2
25,Sunderland,Bournemouth,0,1
25,Manchester Red,Newcastle,2,1
25,Spurs,Everton,1,0
26,London Blues,Brentford,1,1
26,Bournemouth,Fulham,0,1
26,Manchester Blue,N. Forest,2,0
26,Newcastle,Liverpool,4,0
26,Burnley,Leeds,2,2
26,Everton,London Reds,1,2
26,Wolverhampton,Spurs,1,4
26,Brighton,Manchester Red,1,1
26,West Ham,Sunderland,0,0
26,Crystal Palace,Aston Villa,5,0
27,Manchester Red,Burnley,0,1
27,N. Forest,London Blues,1,1
27,Sunderland,Brentford,0,3
27,Newcastle,Brighton,3,1
27,Spurs,Manchester Blue,1,4
27,London Reds,Wolverhampton,4,0
27,Aston Villa,Everton,0,2
27,Liverpool,Crystal Palace,1,2
27,Fulham,West Ham,0,0
27,Leeds,Bournemouth,0,4
28,Wolverhampton,Aston Villa,1,0
28,West Ham,Leeds,0,0
28,Brighton,Liverpool,1,3
28,Manchester Blue,London Reds,3,0
28,Everton,Crystal Palace,1,1
28,Sunderland,N. Forest,1,2
28,Bournemouth,Manchester Red,1,2
28,Brentford,Fulham,3,1
28,London Blues,Spurs,1,1
28,Burnley,Newcastle,1,2
29,Aston Villa,Manchester Blue,1,2
29,Fulham,N. Forest,3,1
29,Brighton,Burnley,1,1
29,Newcastle,Bournemouth,4,0
29,Spurs,Sunderland,2,1
29,Liverpool,Everton,3,2
29,Manchester Red,West Ham,2,2
29,Crystal Palace,Wolverhampton,3,1
29,London Reds,London Blues,4,2
29,Leeds,Brentford,1,3
30,Brentford,Manchester Red,0,0
30,Bournemouth,Brighton,2,2
30,Burnley,Liverpool,1,4
30,London Blues,Aston Villa,2,1
30,N. Forest,Leeds,3,0
30,Fulham,Spurs,0,3
30,Manchester Blue,Crystal Palace,1,1
30,Wolverhampton,Everton,2,0
30,Sunderland,London Reds,0,1
30,West Ham,Newcastle,3,3
31,London Reds,Fulham,2,2
31,Everton,Manchester Blue,2,0
31,Burnley,Bournemouth,1,2
31,Newcastle,Brentford,2,1
31,Manchester Red,N. Forest,0,1
31,Aston Villa,Sunderland,5,1
31,Crystal Palace,London Blues,1,0
31,Leeds,Spurs,0,0
31,Liverpool,Wolverhampton,3,0
31,Brighton,West Ham,3,1
32,Spurs,Manchester Red,0,2
32,Leeds,London Reds,0,4
32,Fulham,Aston Villa,0,0
32,Manchester Blue,Wolverhampton,4,1
32,West Ham,Burnley,2,0
32,Bournemouth,Liverpool,1,2
32,N. Forest,Newcastle,1,1
32,Sunderland,Crystal Palace,0,2
32,London Blues,Everton,1,2
32,Brentford,Brighton,4,1
33,Bournemouth,West Ham,0,0
33,Liverpool,Manchester Blue,3,2
33,Wolverhampton,London Blues,1,3
33,Newcastle,Spurs,3,0
33,Everton,Sunderland,5,0
33,Aston Villa,Leeds,2,1
33,Burnley,Brentford,4,0
33,Crystal Palace,Fulham,2,3
33,Brighton,N. Forest,3,2
33,Manchester Red,London Reds,0,1
34,Spurs,Brighton,3,1
34,Manchester Red,Aston Villa,1,2
34,Fulham,Everton,3,0
34,London Reds,Newcastle,4,0
34,West Ham,Liverpool,1,2
34,Brentford,Bournemouth,3,2
34,Leeds,Crystal Palace,0,1
34,London Blues,Manchester Blue,1,2
34,N. Forest,Burnley,1,1
34,Sunderland,Wolverhampton,0,3
35,Crystal Palace,Manchester Red,0,1
35,Liverpool,London Blues,3,0
35,Manchester Blue,Sunderland,2,0
35,Burnley,Spurs,2,3
35,Bournemouth,N. Forest,3,2
35,Wolverhampton,Fulham,3,1
35,Everton,Leeds,1,0
35,Brighton,London Reds,2,2
35,Newcastle,Aston Villa,6,0
35,West Ham,Brentford,0,3
36,Sunderland,London Blues,0,0
36,Spurs,Bournemouth,2,1
36,Leeds,Wolverhampton,1,0
36,Brentford,Liverpool,1,3
36,Newcastle,Crystal Palace,1,1
36,Aston Villa,Brighton,2,1
36,London Reds,Burnley,1,0
36,Manchester Red,Everton,1,1
36,N. Forest,West Ham,2,1
36,Fulham,Manchester Blue,1,0
37,Wolverhampton,Manchester Red,1,2
37,Brighton,Crystal Palace,4,1
37,Brentford,N. Forest,1,4
37,West Ham,Spurs,0,3
37,Bournemouth,London Reds,3,1
37,Burnley,Aston Villa,1,3
37,London Blues,Fulham,2,0
37,Everton,Newcastle,1,2
37,Liverpool,Sunderland,4,0
37,Manchester Blue,Leeds,0,2

=== PREDICTIONS ===
Journee,Equipe_Dom,Equipe_Ext,Prediction,Resultat,Succes,Points
5,Fulham,Brighton,1,2,0,-8
6,Manchester Blue,Brentford,1,1,1,5
6,Brighton,Leeds,1,2,0,-8
7,Spurs,Wolverhampton,1,1,1,5
11,Everton,Wolverhampton,1,1,1,5
12,Spurs,Leeds,1,1,1,5
13,Crystal Palace,Sunderland,1,X,0,-8
13,Wolverhampton,Manchester Blue,2,2,1,5
14,London Reds,Manchester Red,1,1,1,5
14,London Blues,Wolverhampton,1,1,1,5
16,Fulham,Wolverhampton,1,1,1,5
16,London Reds,Brighton,1,1,1,5
16,Spurs,Burnley,1,1,1,5
17,Liverpool,Brentford,1,X,0,-8
17,London Blues,Sunderland,1,X,0,-8
20,Spurs,N. Forest,1,1,1,5
20,London Reds,Brentford,1,1,1,5
20,Leeds,Sunderland,1,1,1,5
22,Everton,West Ham,1,1,1,5
22,Burnley,Manchester Blue,2,2,1,5
22,Manchester Red,Fulham,1,1,1,5
24,Everton,N. Forest,1,1,1,5
24,Burnley,Sunderland,1,2,0,-8
25,Brentford,Manchester Blue,2,2,1,5
25,London Reds,Crystal Palace,1,1,1,5
25,Liverpool,Aston Villa,1,1,1,5
26,West Ham,Sunderland,1,X,0,-8
26,Burnley,Leeds,1,X,0,-8
27,Manchester Red,Burnley,1,2,0,-8
28,Manchester Blue,London Reds,1,1,1,5
29,Aston Villa,Manchester Blue,2,2,1,5
29,Spurs,Sunderland,1,1,1,5
29,London Reds,London Blues,1,1,1,5
30,Manchester Blue,Crystal Palace,1,X,0,-8
30,West Ham,Newcastle,2,X,0,-8
30,London Blues,Aston Villa,1,1,1,5

=== SCORE IA ===
Score_Final,Predictions_Total,Predictions_Reussies
137,36,25

=== CLASSEMENT FINAL ===
Equipe,Points,Forme
Manchester Blue,81,DDVVD
London Reds,81,DVNVV
Liverpool,79,VVVVV
Newcastle,70,VNVDV
Spurs,64,VVVVD
Crystal Palace,58,DNDVD
Manchester Red,57,VNVDD
Bournemouth,53,VDVDN
Aston Villa,51,VVDVV
Fulham,51,DVDVV
London Blues,49,VNDDV
Everton,49,DNVDV
Brighton,49,VDNDV
Brentford,49,DDVVD
N. Forest,40,VVDND
Burnley,36,DDDNV
West Ham,33,DDDDN
Wolverhampton,33,DDVVD
Leeds,31,VVDDD
Sunderland,20,DNDDD
